Company Name,Niche,Website,Target Title,Decision Maker Name,Verified Email,LinkedIn Search Link,Clawjin Pitch Angle,Status,Custom Notes
Athletic Greens,Health & Functional Nutrition,https://www.drinkag1.com,Founder / CEO / Head of Growth,,,https://www.google.com/search?q=site:linkedin.com/in/+%22Athletic+Greens%22+(%22Founder%22+OR+%22CEO%22+OR+%22Head+of+Growth%22+OR+%22VP+Marketing%22),Automated cohort retention & daily Slack unit economics vs. manual spreadsheets,Not Contacted,
Liquid I.V.,Health & Functional Nutrition,https://www.liquid-iv.com,Founder / CEO / Head of Growth,,,https://www.google.com/search?q=site:linkedin.com/in/+%22Liquid+I.V.%22+(%22Founder%22+OR+%22CEO%22+OR+%22Head+of+Growth%22+OR+%22VP+Marketing%22),Automated cohort retention & daily Slack unit economics vs. manual spreadsheets,Not Contacted,
Magic Spoon,Health & Functional Nutrition,https://www.magicspoon.com,Founder / CEO / Head of Growth,,,https://www.google.com/search?q=site:linkedin.com/in/+%22Magic+Spoon%22+(%22Founder%22+OR+%22CEO%22+OR+%22Head+of+Growth%22+OR+%22VP+Marketing%22),Automated cohort retention & daily Slack unit economics vs. manual spreadsheets,Not Contacted,
Olipop,Health & Functional Nutrition,https://www.drinkolipop.com,Founder / CEO / Head of Growth,,,https://www.google.com/search?q=site:linkedin.com/in/+%22Olipop%22+(%22Founder%22+OR+%22CEO%22+OR+%22Head+of+Growth%22+OR+%22VP+Marketing%22),Automated cohort retention & daily Slack unit economics vs. manual spreadsheets,Not Contacted,
Huel,Health & Functional Nutrition,https://www.huel.com,Founder / CEO / Head of Growth,,,https://www.google.com/search?q=site:linkedin.com/in/+%22Huel%22+(%22Founder%22+OR+%22CEO%22+OR+%22Head+of+Growth%22+OR+%22VP+Marketing%22),Automated cohort retention & daily Slack unit economics vs. manual spreadsheets,Not Contacted,
Mud/Wtr,Health & Functional Nutrition,https://www.mudwtr.com,Founder / CEO / Head of Growth,,,https://www.google.com/search?q=site:linkedin.com/in/+%22Mud/Wtr%22+(%22Founder%22+OR+%22CEO%22+OR+%22Head+of+Growth%22+OR+%22VP+Marketing%22),Automated cohort retention & daily Slack unit economics vs. manual spreadsheets,Not Contacted,
Beam TLC,Health & Functional Nutrition,https://www.shopbeam.com,Founder / CEO / Head of Growth,,,https://www.google.com/search?q=site:linkedin.com/in/+%22Beam+TLC%22+(%22Founder%22+OR+%22CEO%22+OR+%22Head+of+Growth%22+OR+%22VP+Marketing%22),Automated cohort retention & daily Slack unit economics vs. manual spreadsheets,Not Contacted,
Seed Health,Health & Functional Nutrition,https://www.seed.com,Founder / CEO / Head of Growth,,,https://www.google.com/search?q=site:linkedin.com/in/+%22Seed+Health%22+(%22Founder%22+OR+%22CEO%22+OR+%22Head+of+Growth%22+OR+%22VP+Marketing%22),Automated cohort retention & daily Slack unit economics vs. manual spreadsheets,Not Contacted,
Gainful,Health & Functional Nutrition,https://www.gainful.com,Founder / CEO / Head of Growth,,,https://www.google.com/search?q=site:linkedin.com/in/+%22Gainful%22+(%22Founder%22+OR+%22CEO%22+OR+%22Head+of+Growth%22+OR+%22VP+Marketing%22),Automated cohort retention & daily Slack unit economics vs. manual spreadsheets,Not Contacted,
Barebells,Health & Functional Nutrition,https://www.barebells.com,Founder / CEO / Head of Growth,,,https://www.google.com/search?q=site:linkedin.com/in/+%22Barebells%22+(%22Founder%22+OR+%22CEO%22+OR+%22Head+of+Growth%22+OR+%22VP+Marketing%22),Automated cohort retention & daily Slack unit economics vs. manual spreadsheets,Not Contacted,
Glossier,"Beauty, Skincare & Grooming",https://www.glossier.com,Founder / CEO / Head of Growth,,,https://www.google.com/search?q=site:linkedin.com/in/+%22Glossier%22+(%22Founder%22+OR+%22CEO%22+OR+%22Head+of+Growth%22+OR+%22VP+Marketing%22),Automated cohort retention & daily Slack unit economics vs. manual spreadsheets,Not Contacted,
Drunk Elephant,"Beauty, Skincare & Grooming",https://www.drunkelephant.com,Founder / CEO / Head of Growth,,,https://www.google.com/search?q=site:linkedin.com/in/+%22Drunk+Elephant%22+(%22Founder%22+OR+%22CEO%22+OR+%22Head+of+Growth%22+OR+%22VP+Marketing%22),Automated cohort retention & daily Slack unit economics vs. manual spreadsheets,Not Contacted,
KraveBeauty,"Beauty, Skincare & Grooming",https://www.kravebeauty.com,Founder / CEO / Head of Growth,,,https://www.google.com/search?q=site:linkedin.com/in/+%22KraveBeauty%22+(%22Founder%22+OR+%22CEO%22+OR+%22Head+of+Growth%22+OR+%22VP+Marketing%22),Automated cohort retention & daily Slack unit economics vs. manual spreadsheets,Not Contacted,
Hero Cosmetics,"Beauty, Skincare & Grooming",https://www.herocosmetics.us,Founder / CEO / Head of Growth,,,https://www.google.com/search?q=site:linkedin.com/in/+%22Hero+Cosmetics%22+(%22Founder%22+OR+%22CEO%22+OR+%22Head+of+Growth%22+OR+%22VP+Marketing%22),Automated cohort retention & daily Slack unit economics vs. manual spreadsheets,Not Contacted,
Ilia Beauty,"Beauty, Skincare & Grooming",https://www.iliabeauty.com,Founder / CEO / Head of Growth,,,https://www.google.com/search?q=site:linkedin.com/in/+%22Ilia+Beauty%22+(%22Founder%22+OR+%22CEO%22+OR+%22Head+of+Growth%22+OR+%22VP+Marketing%22),Automated cohort retention & daily Slack unit economics vs. manual spreadsheets,Not Contacted,
Tower 28,"Beauty, Skincare & Grooming",https://www.tower28beauty.com,Founder / CEO / Head of Growth,,,https://www.google.com/search?q=site:linkedin.com/in/+%22Tower+28%22+(%22Founder%22+OR+%22CEO%22+OR+%22Head+of+Growth%22+OR+%22VP+Marketing%22),Automated cohort retention & daily Slack unit economics vs. manual spreadsheets,Not Contacted,
Merit Beauty,"Beauty, Skincare & Grooming",https://www.meritbeauty.com,Founder / CEO / Head of Growth,,,https://www.google.com/search?q=site:linkedin.com/in/+%22Merit+Beauty%22+(%22Founder%22+OR+%22CEO%22+OR+%22Head+of+Growth%22+OR+%22VP+Marketing%22),Automated cohort retention & daily Slack unit economics vs. manual spreadsheets,Not Contacted,
Youth To The People,"Beauty, Skincare & Grooming",https://www.youthtothepeople.com,Founder / CEO / Head of Growth,,,https://www.google.com/search?q=site:linkedin.com/in/+%22Youth+To+The+People%22+(%22Founder%22+OR+%22CEO%22+OR+%22Head+of+Growth%22+OR+%22VP+Marketing%22),Automated cohort retention & daily Slack unit economics vs. manual spreadsheets,Not Contacted,
Summer Fridays,"Beauty, Skincare & Grooming",https://www.summerfridays.com,Founder / CEO / Head of Growth,,,https://www.google.com/search?q=site:linkedin.com/in/+%22Summer+Fridays%22+(%22Founder%22+OR+%22CEO%22+OR+%22Head+of+Growth%22+OR+%22VP+Marketing%22),Automated cohort retention & daily Slack unit economics vs. manual spreadsheets,Not Contacted,
Oak Essentials,"Beauty, Skincare & Grooming",https://www.oakessentials.com,Founder / CEO / Head of Growth,,,https://www.google.com/search?q=site:linkedin.com/in/+%22Oak+Essentials%22+(%22Founder%22+OR+%22CEO%22+OR+%22Head+of+Growth%22+OR+%22VP+Marketing%22),Automated cohort retention & daily Slack unit economics vs. manual spreadsheets,Not Contacted,
Our Place,Modern Home & Consumer Tech,https://www.fromourplace.com,Founder / CEO / Head of Growth,,,https://www.google.com/search?q=site:linkedin.com/in/+%22Our+Place%22+(%22Founder%22+OR+%22CEO%22+OR+%22Head+of+Growth%22+OR+%22VP+Marketing%22),Automated cohort retention & daily Slack unit economics vs. manual spreadsheets,Not Contacted,
Caraway Home,Modern Home & Consumer Tech,https://www.carawayhome.com,Founder / CEO / Head of Growth,,,https://www.google.com/search?q=site:linkedin.com/in/+%22Caraway+Home%22+(%22Founder%22+OR+%22CEO%22+OR+%22Head+of+Growth%22+OR+%22VP+Marketing%22),Automated cohort retention & daily Slack unit economics vs. manual spreadsheets,Not Contacted,
Ridge Wallet,Modern Home & Consumer Tech,https://www.ridge.com,Founder / CEO / Head of Growth,,,https://www.google.com/search?q=site:linkedin.com/in/+%22Ridge+Wallet%22+(%22Founder%22+OR+%22CEO%22+OR+%22Head+of+Growth%22+OR+%22VP+Marketing%22),Automated cohort retention & daily Slack unit economics vs. manual spreadsheets,Not Contacted,
Fellow Products,Modern Home & Consumer Tech,https://www.fellowproducts.com,Founder / CEO / Head of Growth,,,https://www.google.com/search?q=site:linkedin.com/in/+%22Fellow+Products%22+(%22Founder%22+OR+%22CEO%22+OR+%22Head+of+Growth%22+OR+%22VP+Marketing%22),Automated cohort retention & daily Slack unit economics vs. manual spreadsheets,Not Contacted,
Nomad Goods,Modern Home & Consumer Tech,https://www.nomadgoods.com,Founder / CEO / Head of Growth,,,https://www.google.com/search?q=site:linkedin.com/in/+%22Nomad+Goods%22+(%22Founder%22+OR+%22CEO%22+OR+%22Head+of+Growth%22+OR+%22VP+Marketing%22),Automated cohort retention & daily Slack unit economics vs. manual spreadsheets,Not Contacted,
Boll & Branch,Modern Home & Consumer Tech,https://www.bollandbranch.com,Founder / CEO / Head of Growth,,,https://www.google.com/search?q=site:linkedin.com/in/+%22Boll+&+Branch%22+(%22Founder%22+OR+%22CEO%22+OR+%22Head+of+Growth%22+OR+%22VP+Marketing%22),Automated cohort retention & daily Slack unit economics vs. manual spreadsheets,Not Contacted,
Brooklinen,Modern Home & Consumer Tech,https://www.brooklinen.com,Founder / CEO / Head of Growth,,,https://www.google.com/search?q=site:linkedin.com/in/+%22Brooklinen%22+(%22Founder%22+OR+%22CEO%22+OR+%22Head+of+Growth%22+OR+%22VP+Marketing%22),Automated cohort retention & daily Slack unit economics vs. manual spreadsheets,Not Contacted,
Ruggable,Modern Home & Consumer Tech,https://www.ruggable.com,Founder / CEO / Head of Growth,,,https://www.google.com/search?q=site:linkedin.com/in/+%22Ruggable%22+(%22Founder%22+OR+%22CEO%22+OR+%22Head+of+Growth%22+OR+%22VP+Marketing%22),Automated cohort retention & daily Slack unit economics vs. manual spreadsheets,Not Contacted,
Cozy Earth,Modern Home & Consumer Tech,https://www.cozyearth.com,Founder / CEO / Head of Growth,,,https://www.google.com/search?q=site:linkedin.com/in/+%22Cozy+Earth%22+(%22Founder%22+OR+%22CEO%22+OR+%22Head+of+Growth%22+OR+%22VP+Marketing%22),Automated cohort retention & daily Slack unit economics vs. manual spreadsheets,Not Contacted,
Branch Furniture,Modern Home & Consumer Tech,https://www.branchfurniture.com,Founder / CEO / Head of Growth,,,https://www.google.com/search?q=site:linkedin.com/in/+%22Branch+Furniture%22+(%22Founder%22+OR+%22CEO%22+OR+%22Head+of+Growth%22+OR+%22VP+Marketing%22),Automated cohort retention & daily Slack unit economics vs. manual spreadsheets,Not Contacted,
